,wave,ext
184,658.0,-0.5950994491577148
185,660.0,-0.6065933108329773
186,662.0,-0.6154789328575134
187,664.0,-0.6289093494415283
188,666.0,-0.6429298222064972
189,668.0,-0.6516828536987305
190,670.0,-0.659479022026062
191,672.0,-0.6685095429420471
192,674.0,-0.6790478229522705
193,676.0,-0.6887485980987549
194,678.0,-0.6996675729751587
195,680.0,-0.7098723649978638
196,682.0,-0.7149196863174438
197,684.0,-0.7202110290527344
198,686.0,-0.7282606363296509
199,688.0,-0.737378716468811
200,690.0,-0.7462359070777893
201,692.0,-0.7554333209991455
202,694.0,-0.7643100917339325
203,696.0,-0.771496593952179
204,698.0,-0.7792203426361084
205,700.0,-0.79044508934021
206,702.0,-0.8058912754058838
207,704.0,-0.820804238319397
208,706.0,-0.8329581618309021
